participant_idx,order_condition,theme_position,theme,theme_label,question_type,time,within_theme_order,global_order,time_clipped,within_order_label,is_first,position_group
1,PBT,1,armed,Armed Conflict,Baseline,52.492,1,1,52.492,First,True,First (Q1)
1,PBT,1,armed,Armed Conflict,Error Threshold,443.166,2,2,135.52889999999968,Second,True,First (Q1)
4,PTB,1,disease,Disease Screening,Baseline,1.401,2,2,1.401,Second,True,First (Q1)
4,PTB,1,disease,Disease Screening,Error Threshold,2.378,1,1,2.378,First,True,First (Q1)
4,PTB,2,conv,Convictions,Error Threshold,3.538,1,3,3.538,First,False,Middle (Q2-6)
4,PTB,3,welfare,Welfare Benefits,Error Threshold,4.679,1,5,4.679,First,False,Middle (Q2-6)
4,PTB,4,vote,Voting,Error Threshold,3.785,1,7,3.785,First,False,Middle (Q2-6)
4,PTB,5,firearm,Firearm Checks,Baseline,2.038,2,10,2.038,Second,False,Middle (Q2-6)
4,PTB,5,firearm,Firearm Checks,Error Threshold,4.623,1,9,4.623,First,False,Middle (Q2-6)
5,PTB,1,disease,Disease Screening,Baseline,51.408,2,2,51.408,Second,True,First (Q1)
5,PTB,1,disease,Disease Screening,Error Threshold,21.844,1,1,21.844,First,True,First (Q1)
5,PTB,2,welfare,Welfare Benefits,Baseline,30.512,2,4,30.512,Second,False,Middle (Q2-6)
5,PTB,2,welfare,Welfare Benefits,Error Threshold,40.055,1,3,40.055,First,False,Middle (Q2-6)
5,PTB,3,immi,Immigration,Baseline,70.276,2,6,70.276,Second,False,Middle (Q2-6)
5,PTB,3,immi,Immigration,Error Threshold,4.058,1,5,4.058,First,False,Middle (Q2-6)
5,PTB,4,vote,Voting,Baseline,68.013,2,8,68.013,Second,False,Middle (Q2-6)
5,PTB,4,vote,Voting,Error Threshold,3.394,1,7,3.394,First,False,Middle (Q2-6)
5,PTB,5,firearm,Firearm Checks,Baseline,152.005,2,10,135.52889999999968,Second,False,Middle (Q2-6)
5,PTB,5,firearm,Firearm Checks,Error Threshold,9.856,1,9,9.856,First,False,Middle (Q2-6)
6,BTP,1,armed,Armed Conflict,Baseline,4.923,2,2,4.923,Second,True,First (Q1)
6,BTP,1,armed,Armed Conflict,Error Threshold,2.059,1,1,2.059,First,True,First (Q1)
6,BTP,2,conv,Convictions,Baseline,11.914,2,4,11.914,Second,False,Middle (Q2-6)
6,BTP,2,conv,Convictions,Error Threshold,2.039,1,3,2.039,First,False,Middle (Q2-6)
6,BTP,3,welfare,Welfare Benefits,Error Threshold,3.24,1,5,3.24,First,False,Middle (Q2-6)
6,BTP,4,immi,Immigration,Error Threshold,24.197,1,7,24.197,First,False,Middle (Q2-6)
6,BTP,5,vote,Voting,Error Threshold,5.164,1,9,5.164,First,False,Middle (Q2-6)
6,BTP,6,air,Airport Security,Baseline,7.827,2,12,7.827,Second,False,Middle (Q2-6)
6,BTP,6,air,Airport Security,Error Threshold,2.817,1,11,2.817,First,False,Middle (Q2-6)
6,BTP,7,auto,Autonomous Driving,Baseline,4.188,2,14,4.188,Second,False,Last (Q7)
6,BTP,7,auto,Autonomous Driving,Error Threshold,12.346,1,13,12.346,First,False,Last (Q7)
7,TBP,1,disease,Disease Screening,Baseline,2.689,2,2,2.689,Second,True,First (Q1)
7,TBP,1,disease,Disease Screening,Error Threshold,2.856,1,1,2.856,First,True,First (Q1)
7,TBP,2,armed,Armed Conflict,Error Threshold,18.227,1,3,18.227,First,False,Middle (Q2-6)
7,TBP,3,conv,Convictions,Error Threshold,3.792,1,5,3.792,First,False,Middle (Q2-6)
7,TBP,4,welfare,Welfare Benefits,Baseline,2.936,2,8,2.936,Second,False,Middle (Q2-6)
7,TBP,4,welfare,Welfare Benefits,Error Threshold,3.705,1,7,3.705,First,False,Middle (Q2-6)
7,TBP,5,immi,Immigration,Baseline,2.694,2,10,2.694,Second,False,Middle (Q2-6)
7,TBP,5,immi,Immigration,Error Threshold,4.449,1,9,4.449,First,False,Middle (Q2-6)
7,TBP,6,firearm,Firearm Checks,Error Threshold,5.46,1,11,5.46,First,False,Middle (Q2-6)
7,TBP,7,auto,Autonomous Driving,Error Threshold,7.567,1,13,7.567,First,False,Last (Q7)
8,PTB,1,armed,Armed Conflict,Error Threshold,30.818,1,1,30.818,First,True,First (Q1)
8,PTB,2,conv,Convictions,Error Threshold,7.383,1,3,7.383,First,False,Middle (Q2-6)
8,PTB,3,welfare,Welfare Benefits,Baseline,8.461,2,6,8.461,Second,False,Middle (Q2-6)
8,PTB,3,welfare,Welfare Benefits,Error Threshold,3.151,1,5,3.151,First,False,Middle (Q2-6)
8,PTB,4,immi,Immigration,Baseline,6.878,2,8,6.878,Second,False,Middle (Q2-6)
8,PTB,4,immi,Immigration,Error Threshold,12.061,1,7,12.061,First,False,Middle (Q2-6)
8,PTB,5,air,Airport Security,Error Threshold,5.355,1,9,5.355,First,False,Middle (Q2-6)
